Playback Hour,Operating System,Browser,Delivery Type,City,Country,ISP,State,Content Quality Entitled,Entitlement Type,Video Type,Audio Language,Title,,,
03/21/2012 2:00:00,Windows 7,Firefox 11.0,,cincinnati,us,Cincinnati_Bell_Telephone,oh,,,,,The Muppets (2011),,,
03/21/2012 2:00:00,Windows 7,Firefox 11.0,,cincinnati,us,Cincinnati_Bell_Telephone,oh,,,,,The Muppets (2011),,,
03/21/2012 3:00:00,Windows 7,Firefox 11.0,,cincinnati,us,Cincinnati_Bell_Telephone,oh,,,,,The Muppets (2011),,,
03/21/2012 3:00:00,Windows 7,Firefox 11.0,,cincinnati,us,Cincinnati_Bell_Telephone,oh,,,,,The Muppets (2011),,,
03/22/2012 0:00:00,Windows 7,Firefox 11.0,,cincinnati,us,Cincinnati_Bell_Telephone,oh,,,,,The Muppets (2011),,,
03/22/2012 0:00:00,Windows 7,Firefox 11.0,,cincinnati,us,Cincinnati_Bell_Telephone,oh,,,,,The Muppets (2011),,,
04/23/2012 2:00:00,Windows 7,Firefox 11.0 AVOD_FLASHACCESS_6825,,cincinnati,us,Cincinnati_Bell_Telephone,oh,,,,,Numb-The Killing Season 2,,,
04/23/2012 3:00:00,Windows 7,Firefox 11.0 AVOD_FLASHACCESS_6825,,cincinnati,us,Cincinnati_Bell_Telephone,oh,,,,,Ogi Jun-The Killing Season 2,,,
04/26/2012 18:00:00,Windows 7,Firefox 12.0 AVOD_FLASHACCESS_6825,,cincinnati,us,Cincinnati_Bell_Telephone,oh,,,,,Ghosts of the Past-The Killing Season 2,,,
04/26/2012 18:00:00,Windows 7,Firefox 12.0 AVOD_FLASHACCESS_6825,,cincinnati,us,Cincinnati_Bell_Telephone,oh,,,,,Ghosts of the Past-The Killing Season 2,,,
04/26/2012 18:00:00,Windows 7,Firefox 12.0 AVOD_FLASHACCESS_6825,,cincinnati,us,Cincinnati_Bell_Telephone,oh,,,,,Ghosts of the Past-The Killing Season 2,,,
04/27/2012 0:00:00,Windows 7,Firefox 12.0 AVOD_FLASHACCESS_6825,,cincinnati,us,Cincinnati_Bell_Telephone,oh,,,,,Ghosts of the Past-The Killing Season 2,,,
05/01/2012 3:00:00,Windows 7,Firefox 12.0,,cincinnati,us,Cincinnati_Bell_Telephone,oh,,,,,Openings-The Killing Season 2,,,
05/07/2012 2:00:00,Windows 7,Firefox 12.0,,cincinnati,us,Cincinnati_Bell_Telephone,oh,,,,,Ghosts of the Past-The Killing Season 2,,,
05/07/2012 3:00:00,Windows 7,Firefox 12.0,,cincinnati,us,Cincinnati_Bell_Telephone,oh,,,,,Openings-The Killing Season 2,,,
05/07/2012 18:00:00,Windows 7,Firefox 12.0,,cincinnati,us,Cincinnati_Bell_Telephone,oh,,,,,Keylela-The Killing Season 2,,,
05/19/2012 4:00:00,Windows 7,Firefox 12.0,,cincinnati,us,Cincinnati_Bell_Telephone,oh,,,,,Off the Reservation-The Killing Season 2,,,
05/21/2012 17:00:00,Windows 7,Firefox 12.0,,cincinnati,us,Cincinnati_Bell_Telephone,oh,,,,,Sayonara,Hiawatha-The Killing Season 2,,
06/05/2012 20:00:00,Windows 7,Firefox 12.0 AVOD_FLASHACCESS_6825,,cincinnati,us,Cincinnati_Bell_Telephone,oh,,,,,Bulldog-The Killing Season 2,,,
06/14/2012 2:00:00,Windows 7,Firefox 13.0 AVOD_FLASHACCESS_6825,,cincinnati,us,Cincinnati_Bell_Telephone,oh,,,,,Donnie or Marie-The Killing Season 2,,,
06/14/2012 2:00:00,Windows 7,Firefox 13.0 AVOD_FLASHACCESS_6825,,cincinnati,us,Cincinnati_Bell_Telephone,oh,,,,,Donnie or Marie-The Killing Season 2,,,
06/14/2012 2:00:00,Windows 7,Firefox 13.0 AVOD_FLASHACCESS_6825,,cincinnati,us,Cincinnati_Bell_Telephone,oh,,,,,Donnie or Marie-The Killing Season 2,,,
06/14/2012 2:00:00,Windows 7,Firefox 13.0 AVOD_FLASHACCESS_6825,,cincinnati,us,Cincinnati_Bell_Telephone,oh,,,,,Donnie or Marie-The Killing Season 2,,,
06/14/2012 3:00:00,Windows 7,Firefox 13.0 AVOD_FLASHACCESS_6825,,cincinnati,us,Cincinnati_Bell_Telephone,oh,,,,,Donnie or Marie-The Killing Season 2,,,
06/14/2012 3:00:00,Windows 7,Firefox 13.0 AVOD_FLASHACCESS_6825,,cincinnati,us,Cincinnati_Bell_Telephone,oh,,,,,Donnie or Marie-The Killing Season 2,,,
08/06/2012 4:00:00,Windows 7,Firefox 14.0.1 AVOD_FLASHACCESS_6825,,cincinnati,us,Cincinnati_Bell_Telephone,oh,,,,,21 Jump Street,,,
08/07/2012 3:00:00,Windows 7,Firefox 14.0.1 AVOD_FLASHACCESS_6825,,cincinnati,us,Cincinnati_Bell_Telephone,oh,,,,,21 Jump Street,,,
